SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
BA,38636,SANTA MARIA DA VITÓRIA,2,29919,29907,SANTA MARIA DA VITÓRIA,Presidente,20036,,0.669674788595876,SANTA MARIA DA VITÓRIA,0.0197199104248137,0.671747050369331
CE,13080,TURURU,2,12838,12834,TURURU,Presidente,10286,,0.801215142545568,TURURU,0.0505530456457392,0.535986913849509
MA,8494,PAÇO DO LUMIAR,1,62922,62894,PAÇO DO LUMIAR,Presidente,50252,,0.798639585518579,PAÇO DO LUMIAR,0.0498553764978863,0.294571056228346
PB,19810,CAMPINA GRANDE,1,285487,283866,CAMPINA GRANDE,Presidente,218429,,0.765110145120443,CAMPINA GRANDE,0.124716712144511,0.387572814173675
SP,61557,ARAÇATUBA,2,144287,140511,ARAÇATUBA,Presidente,100777,,0.698448231649421,ARAÇATUBA,0.112802955221191,0.374177853860708
BA,36471,ITUBERÁ,2,19258,19251,ITUBERÁ,Presidente,11964,,0.621248312389656,ITUBERÁ,0.0274691037490913,0.680340637657078
RS,88510,SANTIAGO,2,40251,40174,SANTIAGO,Presidente,28054,,0.69697647263422,SANTIAGO,0.0990037514595911,0.454994906958833
AL,28630,SÃO BRÁS,2,5907,5903,SÃO BRÁS,Presidente,3982,,0.674115456238361,SÃO BRÁS,0.0275943795496868,0.642119519214491
RN,17639,NÍSIA FLORESTA,1,20012,19515,NÍSIA FLORESTA,Presidente,14574,,0.728263042174695,NÍSIA FLORESTA,0.046472116729962,0.587247651409155
CE,13897,FORTALEZA,2,1776365,1762856,FORTALEZA,Presidente,1329298,,0.748324809371948,FORTALEZA,0.101886718101291,0.390103385283993
PI,12190,TERESINA,1,556287,554254,TERESINA,Presidente,439229,,0.789572648650786,TERESINA,0.13502562526178,0.322330020295279
SC,80640,SÃO JOÃO DO OESTE,2,5151,5147,SÃO JOÃO DO OESTE,Presidente,4050,,0.786255096097845,SÃO JOÃO DO OESTE,0.089303047951854,0.526693845855174
BA,35335,GUANAMBI,2,60392,60318,GUANAMBI,Presidente,47741,,0.790518611736654,GUANAMBI,0.0921976420717976,0.484666843290502
MG,52493,SÃO JOÃO DEL REI,2,67429,67309,SÃO JOÃO DEL REI,Presidente,46584,,0.690860015720239,SÃO JOÃO DEL REI,0.111317089086298,0.420308769223924
PE,25313,RECIFE,1,1155816,1137059,RECIFE,Presidente,889880,,0.769914934557058,RECIFE,0.187543692075555,0.292286142430975
MA,8796,PRESIDENTE DUTRA,1,24875,24873,PRESIDENTE DUTRA,Presidente,19621,,0.78878391959799,PRESIDENTE DUTRA,0.0622713567839196,0.531376884422111
BA,35955,ITABERABA,1,42346,42310,ITABERABA,Presidente,28978,,0.684314929391206,ITABERABA,0.0225523071836773,0.633566334482596
PR,74470,BARBOSA FERRAZ,2,8621,8620,BARBOSA FERRAZ,Presidente,6348,,0.736341491706299,BARBOSA FERRAZ,0.0834009975640877,0.525809070873449
SP,61816,ATIBAIA,2,106960,107040,ATIBAIA,Presidente,71731,,0.670633881824981,ATIBAIA,0.103094614809274,0.43502243829469
DF,97012,BRASÍLIA,1,2084356,2085825,BRASÍLIA,Presidente,1604517,,0.76979028534473,BRASÍLIA,0.233625158082401,0.247622287171673
PE,26298,CAMARAGIBE,2,108998,107804,CAMARAGIBE,Presidente,90198,,0.827519771004973,CAMARAGIBE,0.0900383493275106,0.380695058624929
ES,56170,BARRA DE SÃO FRANCISCO,1,33973,33944,BARRA DE SÃO FRANCISCO,Presidente,23109,,0.680216642627969,BARRA DE SÃO FRANCISCO,0.0314072940276102,0.597886556971713
PR,78875,SÃO MATEUS DO SUL,1,31924,31914,SÃO MATEUS DO SUL,Presidente,25026,,0.783924320260619,SÃO MATEUS DO SUL,0.0903082320511214,0.485214885352713
PR,77712,PITANGA,2,26446,26441,PITANGA,Presidente,18991,,0.718104817363685,PITANGA,0.0622022233986236,0.544657036981018
SP,70971,SÃO JOSÉ DO RIO PRETO,1,328658,328763,SÃO JOSÉ DO RIO PRETO,Presidente,232113,,0.706244789416354,SÃO JOSÉ DO RIO PRETO,0.123426175538097,0.365297665049991
RJ,60011,RIO DE JANEIRO,1,4891885,4860302,RIO DE JANEIRO,Presidente,3312172,,0.677074788144039,RIO DE JANEIRO,0.109997475410808,0.371567197511798
SE,32336,SÃO CRISTÓVÃO,2,54289,54272,SÃO CRISTÓVÃO,Presidente,39140,,0.720956363167493,SÃO CRISTÓVÃO,0.0422000773637385,0.481570852290519
MA,8699,PINHEIRO,2,48380,48350,PINHEIRO,Presidente,38168,,0.78892104175279,PINHEIRO,0.045059942124845,0.51812732534105
CE,13056,ACOPIARA,2,38117,37582,ACOPIARA,Presidente,27243,,0.714720465933835,ACOPIARA,0.0340530471967888,0.691318834116011
RN,17612,NATAL,2,557109,545980,NATAL,Presidente,416708,,0.747982890242304,NATAL,0.17448111590371,0.306356565770792
MG,41041,MARTINS SOARES,2,6934,6936,MARTINS SOARES,Presidente,4535,,0.654023651571964,MARTINS SOARES,0.0164407268531872,0.69945197577156
MG,41238,BELO HORIZONTE,1,1956410,1957126,BELO HORIZONTE,Presidente,1426951,,0.729372166365946,BELO HORIZONTE,0.1410604116724,0.345556912917027
AM,2216,CARAUARI,1,19350,19306,CARAUARI,Presidente,11472,,0.592868217054264,CARAUARI,0.0382945736434109,0.623307493540052
MG,50954,RIO ACIMA,1,8156,8151,RIO ACIMA,Presidente,5970,,0.731976459048553,RIO ACIMA,0.0449975478175576,0.594654242275625
RJ,60011,RIO DE JANEIRO,2,4891885,4860339,RIO DE JANEIRO,Presidente,3285289,,0.671579360512359,RIO DE JANEIRO,0.109997475410808,0.371567197511798
SP,62375,BOFETE,2,8011,8010,BOFETE,Presidente,4906,,0.61240793908376,BOFETE,0.0389464486331294,0.577455998002746
SC,81833,LAGES,1,123514,122371,LAGES,Presidente,90169,,0.730030603818191,LAGES,0.106319931343815,0.444637854818077
BA,36439,ITORORÓ,2,16484,16480,ITORORÓ,Presidente,10143,,0.615323950497452,ITORORÓ,0.0263892259160398,0.686423198252851
MG,42676,CARATINGA,2,61849,61785,CARATINGA,Presidente,38367,,0.620333392617504,CARATINGA,0.0523856489191418,0.563889472748145
PB,20613,JURU,2,7039,7037,JURU,Presidente,5496,,0.780792726239523,JURU,0.0362267367523796,0.723682341241654
SP,61000,EUCLIDES DA CUNHA PAULISTA,1,7627,7626,EUCLIDES DA CUNHA PAULISTA,Presidente,4672,,0.612560639832175,EUCLIDES DA CUNHA PAULISTA,0.0454962632752065,0.521699226432411
MT,89877,ALTA FLORESTA,2,38667,38646,ALTA FLORESTA,Presidente,26112,,0.675304523236869,ALTA FLORESTA,0.0548529754053844,0.544831510073189
CE,13951,GRANJA,2,38869,38738,GRANJA,Presidente,30963,,0.796598831974067,GRANJA,0.0518665260233091,0.612982067971906
MG,50415,PONTE NOVA,1,43634,41661,PONTE NOVA,Presidente,31760,,0.727872759774488,PONTE NOVA,0.0943988632717606,0.484736673236467
PA,4715,ITAITUBA,1,77134,77080,ITAITUBA,Presidente,49051,,0.635919309254026,ITAITUBA,0.0204190110716416,0.689695853968419
RJ,59099,SAQUAREMA,1,64889,64849,SAQUAREMA,Presidente,43506,,0.670468030020497,SAQUAREMA,0.0604570882584105,0.532632649601627
BA,39659,VITÓRIA DA CONQUISTA,1,221849,217524,VITÓRIA DA CONQUISTA,Presidente,169558,,0.764294632835848,VITÓRIA DA CONQUISTA,0.108091539740995,0.460204914153321
PE,25216,PETROLINA,2,198599,194876,PETROLINA,Presidente,155324,,0.782098600697889,PETROLINA,0.100201914410445,0.399538769077387
RJ,58670,NOVA FRIBURGO,2,151918,150117,NOVA FRIBURGO,Presidente,98664,,0.649455627377928,NOVA FRIBURGO,0.0585249937466265,0.538968390842428
CE,15334,REDENÇÃO,2,21876,21874,REDENÇÃO,Presidente,16956,,0.775095995611629,REDENÇÃO,0.0544432254525507,0.506719692814043
AM,2550,MANAUS,1,1320059,1292985,MANAUS,Presidente,1082276,,0.819869414927666,MANAUS,0.130835818702043,0.260373210591345
SP,64017,EMBU DAS ARTES,2,181821,181813,EMBU DAS ARTES,Presidente,125931,,0.69260976454865,EMBU DAS ARTES,0.080799247611662,0.361448897542088
SP,63819,DOBRADA,2,6128,6127,DOBRADA,Presidente,4128,,0.673629242819843,DOBRADA,0.0512402088772846,0.485313315926893
GO,92274,APARECIDA DE GOIÂNIA,2,297995,298016,APARECIDA DE GOIÂNIA,Presidente,216927,,0.727955167033004,APARECIDA DE GOIÂNIA,0.0731891474689173,0.387681001359083
