SG_UF,CD_MUNICIPIO,NM_MUNICIPIO.x,NR_ZONA,NR_TURNO,QT_ELEITOR_SECAO,QT_ELEITOR_ELEICAO_FEDERAL,NM_MUNICIPIO.y,DS_CARGO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,comparecimento,NM_MUNICIPIO,edu_superior,edu_ate_fundamental
SP,71730,TAPIRATIBA,30,1,10480,10468,TAPIRATIBA,Presidente,7486,7486,0.715131830340084,TAPIRATIBA,0.110782442748092,0.445515267175573
PB,20516,JOÃO PESSOA,64,2,105630,106079,JOÃO PESSOA,Presidente,85742,85742,0.80828439182119,JOÃO PESSOA,0.117267821641579,0.324301808198428
PI,12190,TERESINA,1,1,119312,119475,TERESINA,Presidente,97754,97754,0.818196275371417,TERESINA,0.0777457422555988,0.338147043046802
PR,75353,CURITIBA,1,1,137919,137428,CURITIBA,Presidente,109717,109717,0.798359868440202,CURITIBA,0.392056206904052,0.132309544007715
SP,64777,GUARULHOS,393,1,127111,127050,GUARULHOS,Presidente,99736,99736,0.785013774104683,GUARULHOS,0.197111186286002,0.232418909457089
PI,12190,TERESINA,1,2,119312,119508,TERESINA,Presidente,97093,97093,0.812439334605215,TERESINA,0.0777457422555988,0.338147043046802
RJ,58696,NOVA IGUAÇU,158,1,99647,99605,NOVA IGUAÇU,Presidente,75864,75864,0.761648511620903,NOVA IGUAÇU,0.0171304705610806,0.510602426565777
SP,69213,PRAIA GRANDE,406,2,129719,131081,PRAIA GRANDE,Presidente,93843,93843,0.715916112937802,PRAIA GRANDE,0.0734587839869256,0.36536667720226
MG,52035,SANTO ANTÔNIO DO ITAMBÉ,262,1,3929,3924,SANTO ANTÔNIO DO ITAMBÉ,Presidente,2170,2170,0.553007135575943,SANTO ANTÔNIO DO ITAMBÉ,0.021888521252227,0.686434207177399
SP,65110,INDAIATUBA,211,2,188286,189115,INDAIATUBA,Presidente,143282,143282,0.75764481928985,INDAIATUBA,0.203971617645497,0.275580765431312
MA,7234,BACABAL,13,2,66354,66204,BACABAL,Presidente,51898,51898,0.783910337743943,BACABAL,0.0649395665672002,0.441525755794677
MG,41238,BELO HORIZONTE,36,1,96515,96665,BELO HORIZONTE,Presidente,71707,71707,0.741809341540371,BELO HORIZONTE,0.0841734445422991,0.369248303372533
PR,74713,CAMBÉ,78,2,74167,74085,CAMBÉ,Presidente,58535,58535,0.790105959370993,CAMBÉ,0.117559022206642,0.371930912670055
